Disease,Age_Group,BMI_Category,Recommended_Diet,Avoid_Food,Calories_per_day
PCOS,Adult,Overweight,"High protein, Low carb","Sugar, Processed food",1948
Diabetes,Teen,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1582
Obesity,Senior,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1599
Obesity,Adult,Normal,"Calorie deficit, High fiber","Fast food, Sugary drinks",1432
PCOS,Senior,Obese,"High protein, Low carb","Sugar, Processed food",1893
PCOS,Teen,Overweight,"High protein, Low carb","Sugar, Processed food",1720
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1608
Heart Disease,Senior,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1615
Kidney Disease,Senior,Obese,"Low protein, Low potassium","Banana, High protein food",1657
PCOS,Teen,Normal,"High protein, Low carb","Sugar, Processed food",1846
PCOS,Senior,Overweight,"High protein, Low carb","Sugar, Processed food",1824
Heart Disease,Adult,Obese,"Low fat, Omega-3 foods","Red meat, Fried food",1892
Hypertension,Teen,Normal,"Low salt, Fruits, Vegetables","Salt, Pickles",1782
Obesity,Senior,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1434
Anemia,Senior,Normal,"Iron rich foods, Leafy greens","Tea, Coffee",1961
Thyroid,Adult,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1759
Heart Disease,Teen,Overweight,"Low fat, Omega-3 foods","Red meat, Fried food",1703
Thyroid,Teen,Normal,"Balanced diet, Selenium rich food","Soy excess, Junk food",1736
Obesity,Adult,Obese,"Calorie deficit, High fiber","Fast food, Sugary drinks",1448
Hypertension,Senior,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1602
Diabetes,Senior,Obese,"Low sugar, High fiber, Whole grains","Sugar, Refined carbs",1582
Heart Disease,Senior,Normal,"Low fat, Omega-3 foods","Red meat, Fried food",1816
Obesity,Teen,Overweight,"Calorie deficit, High fiber","Fast food, Sugary drinks",1508
Kidney Disease,Adult,Obese,"Low protein, Low potassium","Banana, High protein food",1536
Thyroid,Senior,Obese,"Balanced diet, Selenium rich food","Soy excess, Junk food",1743
Kidney Disease,Senior,Overweight,"Low protein, Low potassium","Banana, High protein food",1531
PCOS,Teen,Obese,"High protein, Low carb","Sugar, Processed food",1971
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1943
Anemia,Senior,Obese,"Iron rich foods, Leafy greens","Tea, Coffee",1872
Hypertension,Senior,Overweight,"Low salt, Fruits, Vegetables","Salt, Pickles",1709
